DEPTH_WMSF,HSGR
0.1524,0.4013
0.3048,1.147
0.4572,1.2588
0.6096,1.7356
0.762,2.5245
0.9144,3.5656
1.0668,4.0411
1.2192,3.6141
1.3716,3.4205
1.524,3.6088
1.6764,4.3246
1.8288,4.6629
1.9812,4.8238
2.1336,5.4753
2.286,5.5233
2.4384,5.3211
2.5908,4.3847
2.7432,4.4522
2.8956,4.6749
3.048,4.536
3.2004,3.2926
3.3528,3.0274
3.5052,2.5918
3.6576,3.2619
3.81,3.0303
3.9624,4.0111
4.1148,4.7127
4.2672,4.8902
4.4196,4.7409
4.572,4.5766
4.7244,4.9028
4.8768,5.9591
5.0292,6.7206
5.1816,7.5406
5.334,6.714
5.4864,6.7831
5.6388,6.7488
5.7912,6.6207
5.9436,6.0962
6.096,5.0918
6.2484,4.6166
6.4008,4.4078
6.5532,4.6944
6.7056,4.9483
6.858,5.1576
7.0104,5.0632
7.1628,5.1841
7.3152,5.1342
7.4676,5.2026
7.62,5.515
7.7724,6.4996
7.9248,8.4854
8.0772,8.5544
8.2296,7.8681
8.382,5.834
8.5344,5.2189
8.6868,5.0964
8.8392,5.2341
8.9916,5.7882
9.144,5.3452
9.2964,5.513
9.4488,5.2026
9.6012,5.5342
9.7536,5.0643
9.906,5.2749
10.0584,4.6337
10.2108,4.0804
10.3632,3.9226
10.5156,4.1808
10.668,4.6198
10.8204,3.7293
10.9728,3.6271
11.1252,4.2296
11.2776,5.0534
11.43,4.8373
11.5824,4.9293
11.7348,5.0356
11.8872,5.1849
12.0396,4.5986
12.192,4.0197
12.3444,4.0384
12.4968,3.6222
12.6492,3.3857
12.8016,3.4189
12.954,2.5872
13.1064,2.4631
13.2588,2.1276
13.4112,3.166
13.5636,3.2826
13.716,2.7448
13.8684,2.4384
14.0208,2.7855
14.1732,3.2918
14.3256,2.9328
14.478,2.5712
14.6304,2.4197
14.7828,2.7347
14.9352,2.4667
15.0876,2.9842
15.24,3.3349
15.3924,3.5007
15.5448,3.7018
15.6972,3.7682
15.8496,3.6146
16.002,3.207
16.1544,3.3875
16.3068,3.7541
16.4592,3.2766
16.6116,2.9736
16.764,3.3023
16.9164,3.1664
17.0688,2.9222
17.2212,2.6547
17.3736,2.5354
17.526,2.0614
17.6784,1.4418
17.8308,1.758
17.9832,2.9169
18.1356,3.6469
18.288,3.4433
18.4404,2.693
18.5928,2.1541
18.7452,2.5038
18.8976,2.6263
19.05,3.7266
19.2024,3.5965
19.3548,3.646
19.5072,2.764
19.6596,2.5991
19.812,2.4453
19.9644,2.9484
20.1168,3.6185
20.2692,4.6061
20.4216,4.7493
20.574,4.615
20.7264,3.8801
20.8788,3.8012
21.0312,3.6261
21.1836,4.5239
21.336,5.0066
21.4884,5.9471
21.6408,5.7719
21.7932,6.1209
21.9456,5.9249
22.098,6.0399
22.2504,5.3598
22.4028,6.4224
22.5552,6.4796
22.7076,6.9791
22.86,5.7538
23.0124,5.8947
23.1648,5.6816
23.3172,5.4177
23.4696,5.4159
23.622,4.8231
23.7744,5.3863
23.9268,5.2419
24.0792,5.616
24.2316,5.9534
24.384,5.7605
24.5364,5.3718
24.6888,4.5046
24.8412,5.2504
24.9936,6.6852
25.146,7.8009
25.2984,8.0459
25.4508,7.7724
25.6032,7.7845
25.7556,7.4558
25.908,7.6737
26.0604,7.8674
26.2128,8.2837
26.3652,6.9601
26.5176,6.2932
26.67,5.7202
26.8224,6.5849
26.9748,7.0483
27.1272,6.8797
27.2796,6.9038
27.432,5.6845
27.5844,4.2218
27.7368,3.2205
27.8892,2.6619
28.0416,3.4696
28.194,3.5092
28.3464,3.9856
28.4988,3.4012
28.6512,3.7366
28.8036,3.519
28.956,4.4348
29.1084,3.9271
29.2608,4.5487
29.4132,4.0509
29.5656,4.0896
29.718,3.8455
29.8704,4.3595
30.0228,4.8844
30.1752,3.8824
30.3276,3.4001
30.48,3.1478
30.6324,4.4601
30.7848,4.5248
30.9372,4.251
31.0896,4.4352
31.242,5.2947
31.3944,5.347
31.5468,4.635
31.6992,3.8698
31.8516,3.8637
32.004,4.205
32.1564,3.3761
32.3088,3.1304
32.4612,2.2155
32.6136,2.7895
32.766,3.1978
32.9184,3.2952
33.0708,3.1994
33.2232,3.0428
33.3756,3.5525
33.528,4.0684
33.6804,4.1741
33.8328,4.2909
33.9852,3.7753
34.1376,3.354
34.29,2.9966
34.4424,2.5808
34.5948,3.2788
34.7472,2.9975
34.8996,3.2636
35.052,2.7385
35.2044,2.8564
35.3568,2.6423
35.5092,2.9382
35.6616,3.7787
35.814,3.9835
35.9664,3.3158
36.1188,3.4212
36.2712,4.053
36.4236,5.1311
36.576,4.556
36.7284,4.2871
36.8808,4.21
37.0332,3.6912
37.1856,3.7014
37.338,3.8524
37.4904,4.4776
37.6428,4.6475
37.7952,4.1678
37.9476,4.1688
38.1,3.941
38.2524,3.9064
38.4048,3.7926
38.5572,3.3171
38.7096,3.3002
38.862,3.0455
39.0144,2.8888
39.1668,2.3059
39.3192,2.8058
39.4716,3.0371
39.624,3.748
39.7764,3.4574
39.9288,4.4324
40.0812,3.5922
40.2336,3.6347
40.386,2.532
40.5384,3.4927
40.6908,3.5438
40.8432,4.2359
40.9956,3.7767
41.148,3.2037
41.3004,2.6259
41.4528,3.1656
41.6052,4.0883
41.7576,4.9192
41.91,4.484
42.0624,4.6033
42.2148,3.9823
42.3672,4.2343
42.5196,3.7289
42.672,3.7727
42.8244,4.1477
42.9768,4.7697
43.1292,6.2942
43.2816,8.8264
43.434,10.7673
43.5864,12.264
43.7388,12.1288
43.8912,12.3672
44.0436,11.9094
44.196,11.4872
44.3484,11.5658
44.5008,11.2047
44.6532,13.1089
44.8056,13.698
44.958,15.182
45.1104,13.2181
45.2628,13.2398
45.4152,14.1731
45.5676,16.1412
45.72,13.7987
45.8724,10.0821
46.0248,6.306
46.1772,7.2368
46.3296,6.8411
46.482,7.521
46.6344,7.1261
46.7868,7.7693
46.9392,6.4795
47.0916,5.2177
47.244,4.9089
47.3964,4.8241
47.5488,4.1288
47.7012,4.0236
47.8536,3.998
48.006,5.1708
48.1584,5.2717
48.3108,5.5227
48.4632,5.2939
48.6156,4.4661
48.768,5.3556
48.9204,4.203
49.0728,5.0396
49.2252,4.5346
49.3776,5.6877
49.53,4.525
49.6824,4.1934
49.8348,3.6743
49.9872,5.303
50.1396,5.7724
50.292,6.4533
50.4444,6.4463
50.5968,6.5002
50.7492,6.2382
50.9016,5.826
51.054,5.5106
51.2064,5.979
51.3588,6.0842
51.5112,7.0282
51.6636,6.1872
51.816,6.0338
51.9684,4.8321
52.1208,4.9484
52.2732,4.3658
52.4256,4.3114
52.578,4.0392
52.7304,4.0923
52.8828,4.3494
53.0352,5.0852
53.1876,4.562
53.34,4.3058
53.4924,4.3036
53.6448,4.2513
53.7972,4.6687
53.9496,3.7874
54.102,4.362
54.2544,3.1576
54.4068,3.5179
54.5592,4.3553
54.7116,5.8733
54.864,5.7159
55.0164,4.9788
55.1688,4.557
55.3212,4.4523
55.4736,4.0862
55.626,4.3539
55.7784,4.1426
55.9308,4.6164
56.0832,3.9352
56.2356,4.4069
56.388,3.5181
56.5404,4.8265
56.6928,4.6706
56.8452,5.299
56.9976,3.7319
57.15,3.419
57.3024,3.3227
57.4548,3.8425
57.6072,4.3126
57.7596,5.2454
57.912,5.8338
58.0644,5.8283
58.2168,4.9479
58.3692,4.6681
58.5216,4.2998
58.674,4.4056
58.8264,4.4629
58.9788,5.049
59.1312,5.3618
59.2836,5.6709
59.436,4.9861
59.5884,5.0837
59.7408,4.3549
59.8932,4.8261
60.0456,4.2503
60.198,4.1982
60.3504,5.0908
60.5028,5.039
60.6552,5.1971
60.8076,4.0933
60.96,4.1003
61.1124,3.9415
61.2648,4.1078
61.4172,4.0981
61.5696,3.9965
61.722,3.579
61.8744,4.4182
62.0268,4.4167
62.1792,4.6185
62.3316,4.5683
62.484,4.7187
62.6364,5.5007
62.7888,4.985
62.9412,5.4066
63.0936,5.3646
63.246,5.298
63.3984,5.7136
63.5508,5.5523
63.7032,7.0707
63.8556,6.5019
64.008,6.6025
64.1604,6.0869
64.3128,6.5047
64.4652,6.5535
64.6176,5.7641
64.77,5.5018
64.9224,5.1454
65.0748,4.8836
65.2272,5.6212
65.3796,5.4061
65.532,5.719
65.6844,5.0325
65.8368,6.8155
65.9892,6.9777
66.1416,6.5631
66.294,4.8828
66.4464,5.0897
66.5988,5.4052
66.7512,5.3567
66.9036,4.521
67.056,4.0953
67.2084,4.0036
67.3608,4.4209
67.5132,4.4351
67.6656,4.9426
67.818,4.8882
67.9704,5.6151
68.1228,5.4607
68.2752,6.4527
68.4276,7.1814
68.58,7.2338
68.7324,6.3468
68.8848,5.4022
69.0372,5.195
69.1896,4.7256
69.342,4.3092
69.4944,4.6261
69.6468,4.7822
69.7992,4.7268
69.9516,4.3532
70.104,4.3517
70.2564,4.4644
70.4088,4.9281
70.5612,4.9304
70.7136,4.5589
70.866,3.7839
71.0184,3.6813
71.1708,4.3624
71.3232,4.045
71.4756,4.7237
71.628,4.5161
71.7804,5.0424
71.9328,4.2039
72.0852,3.9938
72.2376,4.2538
72.39,4.5106
72.5424,4.403
72.6948,4.3398
72.8472,4.8679
72.9996,5.1813
73.152,5.3998
73.3044,5.395
73.4568,5.2899
73.6092,5.1838
73.7616,5.7105
73.914,6.1842
74.0664,6.0766
74.2188,6.1277
74.3712,5.2387
74.5236,5.2401
74.676,4.2537
74.8284,4.2516
74.9808,4.4714
75.1332,4.6274
75.2856,5.3086
75.438,4.9878
75.5904,4.1989
75.7428,3.6795
75.8952,3.9358
76.0476,4.5694
76.2,4.6132
76.3524,4.4641
76.5048,3.9883
76.6572,4.197
76.8096,4.2466
76.962,5.2339
77.1144,4.9762
77.2668,4.2974
77.4192,3.7343
77.5716,3.8906
77.724,3.7327
77.8764,3.8839
78.0288,3.7865
78.1812,3.9935
78.3336,3.8865
78.486,4.0958
78.6384,3.9924
78.7908,3.6729
78.9432,4.2445
79.0956,4.8731
79.248,4.3048
79.4004,3.2027
79.5528,2.8374
79.7052,3.6752
79.8576,4.2498
80.01,4.0426
80.1624,3.8939
80.3148,3.3675
80.4672,3.2612
80.6196,3.461
80.772,4.8237
80.9244,5.7121
81.0768,5.6135
81.2292,4.2076
81.3816,4.3634
81.534,3.9936
81.6864,4.5123
81.8388,3.9927
81.9912,4.4656
82.1436,4.2113
82.296,3.8386
82.4484,3.5221
82.6008,3.6218
82.7532,3.8868
82.9056,4.9821
83.058,5.2396
83.2104,6.6546
83.3628,6.1877
83.5152,6.1471
83.6676,4.7834
83.82,5.0425
83.9724,6.2919
84.1248,10.526
84.2772,15.4366
84.4296,20.1445
84.582,22.9674
84.7344,23.0897
84.8868,23.4009
85.0392,22.8293
85.1916,24.3308
85.344,27.2191
85.4964,27.2219
85.6488,26.454
85.8012,24.9307
85.9536,26.6586
86.106,28.5911
86.2584,28.6792
86.4108,28.2155
86.5632,27.5834
86.7156,26.743
86.868,27.5211
87.0204,26.3737
87.1728,25.6163
87.3252,24.021
87.4776,24.3922
87.63,25.0065
87.7824,24.4683
87.9348,24.2057
88.0872,23.8537
88.2396,23.7443
88.392,24.2112
88.5444,23.1491
88.6968,24.6165
88.8492,23.3481
89.0016,24.9808
89.154,23.5577
89.3064,24.7232
89.4588,23.4565
89.6112,23.0324
89.7636,20.8817
89.916,20.939
90.0684,21.3201
90.2208,22.5772
90.3732,23.9489
90.5256,23.043
90.678,24.7084
90.8304,22.9787
90.9828,23.5058
91.1352,22.7191
91.2876,23.1909
91.44,22.6125
91.5924,21.6241
91.7448,21.2368
91.8972,21.7591
92.0496,21.4491
92.202,21.6076
92.3544,21.8194
92.5068,21.6526
92.6592,22.3419
92.8116,23.493
92.964,24.9159
93.1164,25.2394
93.2688,24.5788
93.4212,23.8011
93.5736,22.0704
93.726,21.9092
93.8784,20.4253
94.0308,21.5179
94.1832,19.9949
94.3356,20.2513
94.488,19.476
94.6404,21.0826
94.7928,23.0435
94.9452,23.3049
95.0976,23.2657
95.25,22.3131
95.4024,22.7791
95.5548,23.1436
95.7072,25.1311
95.8596,25.9769
96.012,24.9262
96.1644,23.8574
96.3168,22.9666
96.4692,23.4895
96.6216,23.8315
96.774,24.3471
96.9264,23.9924
97.0788,22.6249
97.2312,22.0529
97.3836,23.5061
97.536,23.5137
97.6884,24.1273
97.8408,23.8136
97.9932,23.8477
98.1456,23.1296
98.298,21.7216
98.4504,22.5799
98.6028,23.4781
98.7552,24.4211
98.9076,22.9434
99.06,22.3842
99.2124,21.338
99.3648,22.3796
99.5172,21.8266
99.6696,22.9808
99.822,22.6293
99.9744,22.5053
100.1268,20.5639
100.2792,20.1938
100.4316,20.3751
100.584,23.3075
100.7364,23.3052
100.8888,23.1556
101.0412,19.6423
101.1936,20.9429
101.346,21.0309
101.4984,23.0382
101.6508,21.9959
101.8032,21.8918
101.9556,21.8539
102.108,22.0101
102.2604,22.2722
102.4128,22.0322
102.5652,21.9823
102.7176,21.5251
102.87,21.5316
103.0224,21.9995
103.1748,23.3492
103.3272,22.829
103.4796,23.6841
103.632,23.9375
103.7844,25.6127
103.9368,25.6483
104.0892,25.1886
104.2416,24.9659
104.394,25.2348
104.5464,25.2603
104.6988,25.5182
104.8512,23.3098
105.0036,22.818
105.156,21.5219
105.3084,21.4171
105.4608,22.0325
105.6132,22.9089
105.7656,25.7912
105.918,25.2352
106.0704,26.0333
106.2228,23.7288
106.3752,23.4523
106.5276,22.3659
106.68,21.8599
106.8324,23.2197
106.9848,21.6395
107.1372,22.2579
107.2896,21.1951
107.442,23.4481
107.5944,23.232
107.7468,22.3607
107.8992,22.5244
108.0516,23.5156
108.204,24.9156
108.3564,24.4251
108.5088,24.282
108.6612,24.3973
108.8136,23.9358
108.966,24.8597
109.1184,24.2899
109.2708,24.3357
109.4232,22.6716
109.5756,23.1455
109.728,23.1494
109.8804,24.4699
110.0328,23.838
110.1852,24.2199
110.3376,23.6282
110.49,24.72
110.6424,23.8137
110.7948,24.5068
110.9472,24.512
111.0996,24.5607
111.252,23.6692
111.4044,24.0515
111.5568,26.4028
111.7092,27.5062
111.8616,26.3426
112.014,24.4059
112.1664,24.5405
112.3188,25.4648
112.4712,27.0967
112.6236,26.4899
112.776,25.768
112.9284,25.3561
113.0808,24.6514
113.2332,26.164
113.3856,25.8446
113.538,26.02
113.6904,24.768
113.8428,24.6558
113.9952,24.7512
114.1476,25.0833
114.3,25.1968
114.4524,23.9546
114.6048,23.1545
114.7572,22.8846
114.9096,23.9711
115.062,25.5525
115.2144,26.0875
115.3668,25.9404
115.5192,26.6089
115.6716,25.8123
115.824,25.6279
115.9764,23.6815
116.1288,23.5258
116.2812,24.3561
116.4336,25.1474
116.586,25.51
116.7384,25.8551
116.8908,25.4337
117.0432,25.974
117.1956,25.1914
117.348,25.616
117.5004,26.1755
117.6528,27.7486
117.8052,26.8634
117.9576,27.0838
118.11,26.1921
118.2624,26.7026
118.4148,26.7823
118.5672,28.3443
118.7196,28.1932
118.872,27.6888
119.0244,24.8068
119.1768,25.3944
119.3292,23.6266
119.4816,24.2711
119.634,25.1915
119.7864,26.3819
119.9388,26.6962
120.0912,27.2349
120.2436,27.1338
120.396,25.9725
120.5484,22.9255
120.7008,22.9755
120.8532,24.2177
121.0056,25.1685
121.158,25.9505
121.3104,25.233
121.4628,24.132
121.6152,21.6842
121.7676,20.3252
121.92,19.8091
122.0724,21.6327
122.2248,21.9473
122.3772,22.0487
122.5296,20.1109
122.682,21.5791
122.8344,23.3613
122.9868,23.9984
123.1392,25.9406
123.2916,25.6164
123.444,25.8762
123.5964,24.3362
123.7488,22.8238
123.9012,23.1822
124.0536,22.4678
124.206,24.0906
124.3584,23.8312
124.5108,24.1331
124.6632,25.534
124.8156,25.5823
124.968,26.0103
125.1204,23.2425
125.2728,22.3476
125.4252,19.7739
125.5776,20.1565
125.73,21.3628
125.8824,22.3674
126.0348,23.7662
126.1872,24.0882
126.3396,25.1341
126.492,23.6667
126.6444,23.0483
126.7968,22.4816
126.9492,22.0607
127.1016,21.896
127.254,21.8337
127.4064,22.4167
127.5588,21.8346
127.7112,21.7184
127.8636,21.5074
128.016,22.2005
128.1684,22.896
128.3208,23.7245
128.4732,22.2108
128.6256,22.5247
128.778,21.7474
128.9304,23.0592
129.0828,23.9012
129.2352,25.2576
129.3876,26.178
129.54,24.5369
129.6924,24.1751
129.8448,23.5462
129.9972,23.0222
130.1496,21.8241
130.302,20.5252
130.4544,21.7788
130.6068,22.7824
130.7592,25.0762
130.9116,26.2429
131.064,26.9131
131.2164,27.1301
131.3688,26.4934
131.5212,23.1366
131.6736,23.0882
131.826,22.0527
131.9784,24.9816
132.1308,23.4669
132.2832,24.4123
132.4356,25.4729
132.588,28.1345
132.7404,28.4808
132.8928,27.2185
133.0452,25.2131
133.1976,25.4281
133.35,26.3786
133.5024,25.9706
133.6548,24.9952
133.8072,23.8838
133.9596,25.2524
134.112,24.9313
134.2644,25.0735
134.4168,24.9154
134.5692,26.5381
134.7216,26.5544
134.874,26.4695
135.0264,25.3557
135.1788,25.2991
135.3312,23.5668
135.4836,23.6171
135.636,25.9324
135.7884,27.8648
135.9408,28.1411
136.0932,26.5103
136.2456,26.234
136.398,25.8058
136.5504,24.7257
136.7028,24.7481
136.8552,28.0961
137.0076,28.6455
137.16,29.6169
137.3124,27.7422
137.4648,28.7502
137.6172,28.1237
137.7696,27.0679
137.922,27.3255
138.0744,28.3185
138.2268,29.4211
138.3792,28.7378
138.5316,28.7302
138.684,27.7853
138.8364,28.2514
138.9888,27.5388
139.1412,28.1394
139.2936,28.5641
139.446,29.4448
139.5984,32.3963
139.7508,33.6034
139.9032,33.6456
140.0556,32.7847
140.208,31.4466
140.3604,31.9182
140.5128,31.2284
140.6652,33.4775
140.8176,35.4949
140.97,36.9084
141.1224,36.1311
141.2748,33.6563
141.4272,31.9929
141.5796,29.2602
141.732,28.828
141.8844,26.9232
142.0368,28.31
142.1892,29.1056
142.3416,31.604
142.494,31.3665
142.6464,30.5824
142.7988,28.8666
142.9512,27.7821
143.1036,26.5675
143.256,26.3403
143.4084,26.2789
143.5608,26.443
143.7132,26.5675
143.8656,28.5314
144.018,30.768
144.1704,31.3965
144.3228,30.2097
144.4752,28.8927
144.6276,26.9687
144.78,28.5909
144.9324,28.0892
145.0848,30.2861
145.2372,29.6397
145.3896,29.9908
145.542,29.6362
145.6944,29.3881
145.8468,32.1751
145.9992,33.3103
146.1516,34.3872
146.304,33.4428
146.4564,33.7406
146.6088,32.7598
146.7612,29.9173
146.9136,28.7552
147.066,27.99
147.2184,30.1578
147.3708,31.2974
147.5232,32.3256
147.6756,33.6014
147.828,32.5417
147.9804,32.7546
148.1328,32.6661
148.2852,33.0621
148.4376,33.2802
148.59,32.143
148.7424,31.1109
148.8948,29.8114
149.0472,28.8432
149.1996,28.6971
149.352,28.501
149.5044,27.9525
149.6568,26.1162
149.8092,26.3259
149.9616,25.8201
150.114,27.1002
150.2664,24.9447
150.4188,23.3318
150.5712,23.1231
150.7236,23.3832
150.876,25.6743
151.0284,26.4512
151.1808,28.334
151.3332,28.264
151.4856,28.1801
151.638,27.0829
151.7904,28.0196
151.9428,26.8018
152.0952,28.0125
152.2476,27.0188
152.4,27.7199
152.5524,26.7577
152.7048,26.9835
152.8572,28.7767
153.0096,28.8944
153.162,29.9112
153.3144,30.431
153.4668,32.2538
153.6192,31.8658
153.7716,29.062
153.924,27.309
154.0764,27.4869
154.2288,29.9779
154.3812,31.7268
154.5336,32.2295
154.686,31.5041
154.8384,31.0539
154.9908,29.9517
155.1432,30.2163
155.2956,30.4092
155.448,33.408
155.6004,34.9056
155.7528,35.1965
155.9052,33.8843
156.0576,32.7311
156.21,34.723
156.3624,36.6071
156.5148,37.6554
156.6672,36.0901
156.8196,34.0391
156.972,33.5946
157.1244,33.6272
157.2768,34.3996
157.4292,33.4485
157.5816,34.0153
157.734,35.0074
157.8864,37.8489
158.0388,40.3877
158.1912,39.7219
158.3436,39.6038
158.496,39.9027
158.6484,41.4925
158.8008,42.3438
158.9532,43.5652
159.1056,44.1131
159.258,43.5771
159.4104,41.5338
159.5628,38.3802
159.7152,36.4708
159.8676,34.2346
160.02,33.6477
160.1724,32.4694
160.3248,33.2725
160.4772,34.4311
160.6296,35.6748
160.782,35.1902
160.9344,32.9601
161.0868,32.9517
161.2392,35.1446
161.3916,37.7465
161.544,41.0213
161.6964,40.4387
161.8488,41.2897
162.0012,39.6601
162.1536,39.7318
162.306,38.611
162.4584,37.5263
162.6108,37.9745
162.7632,39.9478
162.9156,41.051
163.068,43.2112
163.2204,44.6033
163.3728,48.017
163.5252,47.2601
163.6776,46.0219
163.83,42.5452
163.9824,42.5525
164.1348,41.3656
164.2872,41.7945
164.4396,42.2078
164.592,45.0027
164.7444,46.1371
164.8968,45.1409
165.0492,42.2313
165.2016,41.4479
165.354,40.7589
165.5064,42.9189
165.6588,44.5689
165.8112,48.3292
165.9636,49.0104
166.116,47.4736
166.2684,43.763
166.4208,41.0109
166.5732,38.5374
166.7256,35.7629
166.878,34.0013
167.0304,34.2233
167.1828,33.8566
167.3352,34.8328
167.4876,36.0953
167.64,38.8905
167.7924,40.9063
167.9448,41.9867
168.0972,41.415
168.2496,40.082
168.402,36.5999
168.5544,36.0972
168.7068,33.076
168.8592,32.9515
169.0116,31.2263
169.164,32.619
169.3164,33.4074
169.4688,35.6763
169.6212,36.3692
169.7736,36.0142
169.926,35.5391
170.0784,36.8525
170.2308,39.5971
170.3832,43.6344
170.5356,44.8434
170.688,46.3469
170.8404,43.6436
170.9928,42.6654
171.1452,41.1188
171.2976,40.6252
171.45,40.3789
171.6024,38.49
171.7548,36.489
171.9072,35.1488
172.0596,34.3923
172.212,33.552
172.3644,33.988
172.5168,38.4984
172.6692,42.2885
172.8216,41.9988
172.974,40.3136
173.1264,42.127
173.2788,45.6205
173.4312,46.7924
173.5836,45.9421
173.736,46.9972
173.8884,44.5625
174.0408,41.4337
174.1932,37.2899
174.3456,35.4695
174.498,34.552
174.6504,35.5335
174.8028,37.754
174.9552,39.8784
175.1076,39.9329
175.26,41.4431
175.4124,44.9594
175.5648,44.4967
175.7172,40.8743
175.8696,35.3955
176.022,34.2051
176.1744,37.902
176.3268,40.2134
176.4792,42.6166
176.6316,42.5909
176.784,41.6448
176.9364,39.8463
177.0888,36.2417
177.2412,34.9012
177.3936,35.1025
177.546,37.7451
177.6984,38.1318
177.8508,36.5558
178.0032,35.2827
178.1556,34.7602
178.308,36.4675
178.4604,35.3106
178.6128,34.985
178.7652,33.6649
178.9176,32.8614
179.07,34.496
179.2224,34.5696
179.3748,35.5064
179.5272,35.9354
179.6796,37.8476
179.832,40.6708
179.9844,41.1317
180.1368,41.7687
180.2892,42.5243
180.4416,43.0685
180.594,43.058
180.7464,41.6421
180.8988,41.6345
181.0512,39.3086
181.2036,37.0266
181.356,34.7747
181.5084,34.5319
181.6608,35.0442
181.8132,34.182
181.9656,35.343
182.118,35.3843
182.2704,35.8308
182.4228,33.9538
182.5752,34.5236
182.7276,35.0155
182.88,36.2257
183.0324,36.8129
183.1848,36.4916
183.3372,36.3522
183.4896,34.5713
183.642,35.8858
183.7944,37.0681
183.9468,39.0422
184.0992,36.9898
184.2516,36.226
184.404,33.7382
184.5564,35.1721
184.7088,34.8071
184.8612,35.9747
185.0136,35.2524
185.166,36.6245
185.3184,35.6607
185.4708,39.2615
185.6232,38.8108
185.7756,41.7282
185.928,38.6724
186.0804,38.105
186.2328,35.5231
186.3852,37.0757
186.5376,37.019
186.69,40.0091
186.8424,39.9569
186.9948,44.0342
187.1472,45.6163
187.2996,46.4084
187.452,45.7753
187.6044,46.5691
187.7568,46.6554
187.9092,42.6772
188.0616,39.4597
188.214,36.6374
188.3664,41.685
188.5188,42.893
188.6712,45.9679
188.8236,42.1785
188.976,42.5102
189.1284,41.0052
189.2808,41.077
189.4332,39.5047
189.5856,38.094
189.738,36.7113
189.8904,36.1708
190.0428,38.3007
190.1952,40.6404
190.3476,40.5345
190.5,38.3664
190.6524,37.015
190.8048,39.2465
190.9572,40.9351
191.1096,42.186
191.262,37.8247
191.4144,35.6757
191.5668,32.9321
191.7192,35.5924
191.8716,35.5592
192.024,34.7745
192.1764,34.8927
192.3288,36.8885
192.4812,39.3248
192.6336,37.3687
192.786,38.1171
192.9384,39.3568
193.0908,41.5722
193.2432,41.6436
193.3956,42.0905
193.548,43.4183
193.7004,47.8067
193.8528,50.3235
194.0052,52.6905
194.1576,51.9086
194.31,51.5456
194.4624,50.9305
194.6148,50.0476
194.7672,49.5195
194.9196,48.2825
195.072,46.0341
195.2244,43.1691
